# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
1.531345 -8.759958 -2.267635 5.181124 0.495900 0.060109 -0.491421
1.541674 -8.572830 -2.291026 4.840653 0.476257 0.120736 -0.488510
1.551811 -8.286939 -2.361199 4.799069 0.463646 0.147897 -0.472505
1.561938 -8.396097 -2.153279 4.705505 0.454673 0.157113 -0.430308
1.572062 -8.331122 -2.192264 4.505381 0.448368 0.146200 -0.413817
1.582187 -8.359711 -2.119491 4.627535 0.450551 0.150807 -0.383018
1.592312 -8.268746 -2.194863 4.552164 0.470922 0.156143 -0.359738
1.602439 -8.086815 -2.031125 4.378030 0.479652 0.176271 -0.331121
1.612566 -8.120602 -1.921967 4.583352 0.514088 0.140137 -0.294987
1.622704 -8.305132 -1.776422 4.622337 0.525486 0.133589 -0.242363
1.632835 -8.237558 -1.623081 4.760084 0.559195 0.115886 -0.197498
1.642960 -8.364909 -1.597091 4.949812 0.577869 0.118796 -0.149724
1.653097 -8.390899 -1.698452 4.975802 0.586841 0.099638 -0.103889
1.663231 -8.622211 -1.480135 5.266891 0.596784 0.095758 -0.036714
1.673365 -8.637805 -1.638675 5.144737 0.596057 0.082419 -0.019738
1.683720 -8.562434 -1.633477 5.461816 0.598239 0.069566 0.009605
1.693842 -8.627409 -1.636076 5.329267 0.576171 0.098668 0.060047
1.703971 -8.515652 -1.755630 5.402039 0.570593 0.118068 0.096909
1.714104 -8.403894 -1.986942 5.347460 0.551677 0.112248 0.119947
1.724240 -8.375305 -2.101298 5.214911 0.527669 0.088967 0.138863
1.734367 -8.398696 -2.168873 5.212312 0.482320 0.092120 0.160447
1.744491 -8.372706 -2.366397 5.110950 0.445216 0.099880 0.171845
1.754615 -8.546840 -2.478155 5.103153 0.394773 0.122919 0.197551
1.764739 -8.481864 -2.293625 5.279886 0.357184 0.144502 0.233442
1.774863 -8.370107 -2.252041 5.357856 0.321535 0.156143 0.267151
1.784991 -8.388300 -2.168873 5.329267 0.292434 0.164873 0.292372
1.795110 -8.112805 -2.114293 5.269490 0.274003 0.147412 0.308620
1.805245 -8.175181 -2.005135 5.253896 0.260908 0.121464 0.351545
1.815369 -8.240157 -1.833601 5.383846 0.247085 0.079752 0.386466
1.825515 -8.385701 -1.433353 5.602163 0.231322 0.050651 0.402472
1.835659 -8.687186 -1.409962 5.635950 0.201978 0.022034 0.403442
1.845784 -8.871716 -1.220235 5.739910 0.191793 0.011122 0.420175
1.855911 -8.913300 -1.220235 5.589168 0.181365 -0.024285 0.413627
1.866045 -8.947087 -0.908353 5.659341 0.165359 -0.047081 0.414355
