# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
1.844845 2.602907 9.903522 -0.136448 -0.313317 0.011983 0.542050
1.854974 0.593873 9.287557 2.051917 -0.330050 -0.408287 0.562421
1.865108 -0.848576 9.887928 1.085086 -0.367397 -0.799698 0.606072
1.875241 -2.179269 10.555873 1.170853 -0.228196 -0.996374 0.667428
1.885367 -1.124071 11.408348 0.697834 -0.177754 -0.745861 0.838640
1.895495 -2.363798 10.745601 1.503526 -0.188182 -0.692994 0.953104
1.905618 -2.657486 10.652037 1.888180 -0.282761 -0.435206 1.044773
1.915744 -2.080506 10.813175 1.376175 -0.339023 -0.167717 1.088183
1.925906 -1.552908 10.691022 1.137066 -0.421477 0.041812 1.135715
1.936057 -0.648453 10.199809 -0.066275 -0.466099 0.039629 1.098368
1.946266 0.157240 9.656616 0.640656 -0.524786 -0.013723 1.042833
1.956403 0.703032 9.547458 2.033724 -0.559707 -0.116305 0.996029
1.966538 0.684839 9.547458 1.776422 -0.558252 -0.210884 0.958925
1.976680 0.391151 9.381121 1.789417 -0.536427 -0.302795 0.913333
1.986827 0.612067 9.336938 2.896595 -0.494230 -0.364150 0.835972
1.996967 0.658849 9.552656 3.382610 -0.407654 -0.376276 0.754246
2.007116 0.417141 9.708596 3.161694 -0.332718 -0.333594 0.710109
2.017267 0.219616 9.724191 2.930382 -0.321320 -0.255748 0.653604
2.027418 0.476918 9.570849 2.621100 -0.266513 -0.157532 0.576001
2.037558 0.721225 9.557854 2.478155 -0.235229 -0.090114 0.521921
2.047693 0.952537 9.479884 1.958353 -0.227711 -0.090356 0.442136
2.058051 0.848576 9.872334 2.028526 -0.252932 -0.131341 0.376173
2.068155 0.708230 9.919116 2.376793 -0.237169 -0.162139 0.319183
2.078296 0.562685 9.687804 2.231249 -0.206128 -0.182510 0.267043
2.088450 0.440532 9.841146 2.397585 -0.197640 -0.176690 0.244247
2.098571 0.458725 9.794364 2.623699 -0.181149 -0.160442 0.215389
2.108672 0.809591 9.828151 2.647090 -0.159566 -0.156804 0.176830
2.118812 0.783601 9.763176 2.662684 -0.117854 -0.172810 0.145546
2.128954 0.388552 9.633225 2.470358 -0.124644 -0.195363 0.112807
2.139091 0.365161 9.770973 2.306620 -0.094088 -0.203124 0.103834
2.149207 0.136448 9.804760 2.470358 -0.090935 -0.175720 0.111837
2.159297 0.313181 9.594240 2.485952 -0.064502 -0.155349 0.108684
2.169403 0.479517 9.589042 2.504145 -0.052376 -0.147346 0.102622
2.179559 0.341770 9.456493 2.259838 -0.046556 -0.142496 0.094134
2.189698 0.245606 9.440899 2.394986 -0.035886 -0.118245 0.090011
2.199833 0.094864 9.513671 2.485952 -0.018182 -0.087689 0.100924
2.209974 0.149443 9.568250 2.535333 -0.001692 -0.018331 0.115717
2.220084 0.419740 9.526666 2.439170 0.007039 -0.003780 0.116202
2.230229 0.471720 9.568250 2.504145 0.027409 0.007618 0.125417
