# time acc.x acc.y acc.z gyro.x gyro.y gyro.z
1.268308 -0.349567 9.744983 1.012314 -0.604046 0.237013 0.080476
1.278435 -0.076671 9.867136 2.444368 -0.787626 0.237498 0.057923
1.288574 0.058478 10.085453 3.512560 -0.774773 0.214217 0.075626
1.298714 0.570482 9.908720 4.055753 -0.683104 0.239680 0.114670
1.308842 0.716027 9.607235 4.773079 -0.659581 0.288910 0.126068
1.318983 0.994121 9.277161 5.225307 -0.675587 0.307098 0.101575
1.329106 1.474937 9.487681 5.217510 -0.674617 0.234345 0.012574
1.339228 1.867388 9.898324 3.972585 -0.628540 0.135159 -0.025985
1.349358 1.020111 10.140032 3.647709 -0.624902 0.014874 -0.080065
1.359491 0.521101 10.607853 3.595728 -0.564032 0.029424 -0.126627
1.369627 0.094864 10.522086 2.826422 -0.500252 0.054888 -0.110621
1.379752 0.048082 10.379141 3.218872 -0.476971 0.165957 -0.118382
1.389882 0.235210 9.815156 3.975184 -0.520623 0.220280 -0.146998
1.400004 0.588675 10.358349 4.513178 -0.601863 0.193361 -0.122747
1.410152 1.009715 10.735205 4.897832 -0.551421 0.124731 -0.146513
1.420289 0.918750 10.888546 4.359837 -0.433561 0.034759 -0.150393
1.430426 0.819987 10.316764 4.162312 -0.319582 -0.009862 -0.193075
1.440558 0.578279 9.890527 4.346842 -0.310609 -0.002102 -0.209808
1.450703 0.666646 9.594240 4.344243 -0.336800 -0.048179 -0.230906
1.460873 0.554888 10.033473 4.448203 -0.358626 -0.084313 -0.223874
1.471004 0.253403 10.163423 4.497584 -0.315459 -0.083585 -0.218538
1.481127 0.120854 9.945106 4.128525 -0.257014 -0.069520 -0.220479
1.491260 0.365161 9.718993 4.352040 -0.237613 -0.033143 -0.213203
1.501543 0.721225 9.630626 4.757485 -0.229853 -0.060790 -0.226784
1.511688 0.554888 9.620230 4.313055 -0.215302 -0.107836 -0.261948
1.521816 0.664047 9.633225 4.118129 -0.169468 -0.090376 -0.269951
1.531941 0.817388 9.490280 4.505381 -0.137457 -0.117537 -0.290806
1.542067 0.068874 9.573448 4.149317 -0.125331 -0.133300 -0.293232
1.552188 0.019493 9.438300 4.349441 -0.086287 -0.079705 -0.287411
1.562313 0.188428 9.625428 4.466396 -0.103505 -0.053999 -0.267040
1.572438 0.297586 9.677408 4.175307 -0.103748 -0.084070 -0.266313
1.582566 0.476918 9.552656 4.060951 -0.079012 -0.102016 -0.260250
1.592700 -0.396349 9.498077 4.507980 -0.102535 -0.077038 -0.258795
1.602831 -0.118255 9.747582 4.624936 -0.086530 -0.040904 -0.225329
1.612956 -0.393750 9.654017 4.744490 -0.058156 -0.033143 -0.214901
1.623079 -0.027290 9.716394 4.393624 -0.058156 0.028212 -0.186527
1.633205 0.206621 9.835948 4.138921 -0.072464 0.010508 -0.172947
1.643341 0.253403 9.469488 4.276669 -0.058883 -0.012045 -0.190407
1.653484 -0.003899 9.435701 4.339045 -0.071979 -0.025626 -0.180222
1.663624 -0.178032 9.560453 4.510579 -0.066401 -0.033143 -0.161791
1.673757 -0.107859 9.500676 4.515777 -0.068826 -0.024413 -0.155728
1.683971 -0.061077 9.586443 4.502782 -0.066886 -0.008165 -0.129537
1.694110 -0.029889 9.576047 4.520975 -0.057428 -0.013500 -0.122019
1.704242 -0.193626 9.583844 4.619738 -0.045060 -0.014470 -0.109651
1.714381 -0.110458 9.633225 4.432609 -0.026872 -0.023200 -0.098738
1.724515 -0.019493 9.664413 4.401421 -0.026872 0.005173 -0.080550
1.734713 -0.081869 9.672210 4.507980 -0.054033 0.018026 -0.087583
1.744851 -0.154641 9.659215 4.588550 -0.038998 0.033062 -0.090978
1.754988 -0.058478 9.443498 4.637931 -0.023234 0.041307 -0.109409
1.765112 -0.016894 9.487681 4.463797 -0.006259 0.052705 -0.108924
1.775235 -0.089666 9.381121 4.601545 0.021145 0.079866 -0.102134
1.785356 -0.006498 9.196592 4.344243 0.031573 0.124003 -0.114502
1.795481 -0.139047 9.625428 4.445604 -0.005531 0.158440 -0.107469
1.805604 -0.035087 9.861938 4.305258 -0.013777 0.126186 -0.135600
1.815734 0.198824 9.677408 4.474193 0.008777 0.101207 -0.188225
1.825871 0.110458 9.695601 4.593748 0.033028 0.079139 -0.213931
1.836017 -0.318379 9.628027 4.450802 0.048791 0.072349 -0.224601
1.846143 -0.058478 9.680007 4.388426 0.033270 0.091749 -0.233332
1.856282 -0.167636 9.596839 4.128525 -0.005531 0.065558 -0.270193
1.866403 -0.183230 9.542260 4.258476 -0.000923 0.056343 -0.278681
1.876544 -0.393750 9.531864 4.339045 -0.043120 0.062891 -0.284986
1.886690 -0.230012 9.693002 4.216891 -0.070039 0.070893 -0.282076
1.896827 -0.172834 9.586443 4.383228 -0.078042 0.049068 -0.305842
1.906951 -0.370359 9.716394 4.320852 -0.094532 0.043247 -0.301962
1.917080 -0.209220 9.682606 4.476792 -0.078527 -0.002587 -0.311177
1.927206 -0.427537 9.669611 4.248079 -0.069554 -0.017138 -0.310450
1.937327 -0.521101 9.531864 4.302659 -0.086045 -0.035326 -0.298809
1.947476 -0.703032 9.625428 4.419614 -0.105930 -0.045754 -0.271163
1.957624 -0.687438 9.565651 4.263674 -0.114903 -0.050362 -0.254672
1.967750 -0.775804 9.451295 4.216891 -0.117813 -0.049392 -0.231877
1.977900 -0.843378 9.542260 4.388426 -0.118298 -0.038721 -0.193317
1.988045 -0.700433 9.641022 4.611941 -0.122421 -0.039934 -0.145543
1.998194 -0.903155 9.864537 4.598946 -0.107870 -0.048664 -0.112804
2.008650 -0.978527 9.955502 4.494985 -0.103020 -0.038479 -0.085400
2.018804 -0.978527 10.007482 4.409218 -0.102778 -0.039206 -0.064302
2.028920 -0.934344 10.249190 4.193500 -0.073677 -0.005982 -0.022348
2.039031 -1.048700 10.470106 4.248079 -0.011594 0.029909 0.042645
2.049165 -0.908353 10.488299 4.466396 0.106508 0.181478 0.080719
2.059293 0.081869 10.355750 3.959590 0.200360 0.208639 0.179178
2.069457 0.534096 10.119240 3.733476 0.128577 0.082291 0.239563
2.079800 -0.214418 10.480502 3.042140 0.074012 0.065316 0.269634
2.089939 -1.339789 10.755997 2.686075 0.079832 0.203061 0.297523
2.100042 -1.698452 11.143249 2.109095 0.166894 0.424473 0.342872
2.110172 -0.422339 12.000922 0.986324 0.265838 0.642490 0.469705
2.120307 0.588675 11.951541 0.775804 0.464453 0.830435 0.592900
2.130439 2.233848 11.073076 1.378774 0.628633 0.931804 0.659106
2.140567 2.680877 10.883348 0.731621 0.641001 0.720335 0.646253
2.150651 2.080506 10.607853 0.204022 0.713754 0.493346 0.544641
2.160756 0.853774 10.038671 0.274195 0.789659 0.294003 0.503172
2.170889 -0.370359 9.581245 0.497710 0.821671 0.170323 0.497351
2.181013 -0.929146 9.064042 0.729022 0.857805 0.213004 0.466310
2.191158 -0.890160 8.921097 1.168254 0.841314 0.345172 0.447394
2.201288 -0.359963 9.038052 1.373576 0.814638 0.387854 0.438664
2.211409 -0.206621 9.045849 1.880383 0.871385 0.350993 0.414655
2.221565 -0.666646 8.549439 2.400184 0.875265 0.316314 0.364213
2.231673 -0.916151 7.946469 2.626298 0.849317 0.303703 0.308921
2.241791 -0.978527 7.590405 2.914788 0.808575 0.283332 0.223072
2.251915 -1.313799 7.663177 3.213674 0.708904 0.291820 0.123158
2.262049 -1.381373 7.759340 3.803649 0.614082 0.302733 0.027609
2.272204 -1.456744 7.834711 4.417015 0.554182 0.306128 -0.051934
2.282323 -1.170853 7.694365 4.541767 0.469061 0.303218 -0.143845
2.292429 -1.199442 7.626791 4.796470 0.351201 0.241863 -0.240122
2.302644 -1.137066 7.561815 4.897832 0.235766 0.175415 -0.339793
2.312898 -0.583477 7.988053 5.204515 0.147493 0.155287 -0.418609
2.322991 -0.318379 8.344117 5.383846 0.082743 0.092962 -0.504700
2.333135 -0.003899 8.591023 5.513797 0.014112 0.016571 -0.548595
2.343257 0.398948 9.248572 5.752905 -0.052336 -0.031446 -0.563873
2.353344 0.903155 9.978893 5.667138 -0.112963 -0.185925 -0.565570
2.363448 0.988923 9.557854 6.504019 -0.110538 -0.288021 -0.552475
2.373591 0.385953 8.887310 7.715157 -0.169468 -0.245340 -0.424430
2.383737 0.180631 8.757359 6.995232 -0.249011 -0.514283 -0.399936
2.393878 1.376175 8.027038 8.201172 -0.397912 -0.480332 -0.355799
2.404006 0.612067 7.644984 14.163297 -1.050750 0.248168 -0.320150
2.414148 -1.033106 10.202408 7.907484 -0.733304 -0.344284 -0.284016
2.424289 0.947339 10.693621 7.850305 -0.327100 0.036700 -0.095343
2.434422 0.684839 11.442135 5.599564 -0.284660 -0.657607 -0.297354
2.444557 -1.100680 12.024313 4.949812 0.026238 -0.801658 -0.184587
2.454692 -2.041521 12.382976 2.270234 0.355809 -0.486395 -0.070365
2.464794 -2.699070 11.824189 0.154641 0.480944 -0.445411 -0.010950
2.474912 -3.429392 10.425923 -0.292388 0.413526 -0.124327 0.129706
2.485042 -2.348204 8.442879 0.323577 -0.008199 0.099025 0.310376
2.495230 -1.576299 8.338919 1.165655 -0.479153 0.126671 0.381189
2.505343 -1.563304 9.092631 1.776422 -0.720451 0.125943 0.456125
2.515465 -1.329393 9.695601 2.964169 -0.749067 0.263931 0.564527
2.525594 -0.484715 9.768374 4.827658 -0.689652 0.456970 0.612301
2.535714 0.703032 9.885329 6.056989 -0.572762 0.405800 0.599448
2.545843 1.656868 10.002284 5.347460 -0.357656 0.252048 0.506324
2.555974 1.415160 9.698200 4.271471 -0.199782 0.073804 0.418051
2.566109 0.398948 9.264166 3.943995 -0.150310 -0.043086 0.303586
